Name,Description,Image Link,Price,Rating,Merchant
Apple iPhone 14 Plus - Garansi Resmi iBox Apple Indonesia,Apple iPhone 14 Plus - Garansi Resmi iBox Apple Indonesia,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/10/28/2f263609-d802-4e96-8759-6ebe9dec169e.jpg.webp?ect=3g,Rp14.640.000,5,Jakarta UtaraUniverse Store
Infinix Note 30 Pro 8/256 Garansi Resmi,Infinix Note 30 Pro 8/256 Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/3/7e8a18d4-4be3-47f1-ab06-15c759438c8c.jpg.webp?ect=3g,Rp2.619.000,5,BandungGadgetCo.
Samsung Galaxy A50 4GB/64GB ex Resmi Indo,Samsung Galaxy A50 4GB/64GB ex Resmi Indo,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/15/91a89767-dfd2-4ffb-abef-a83e7ac7be59.png.webp?ect=3g,Rp920.000,5,Jakarta BaratLaku6 Authorized Reseller
OPPO Reno10 Pro+ 5G 12/256 RAM 12GB ROM 256GB Reno 10 Pro Plus,OPPO Reno10 Pro+ 5G 12/256 RAM 12GB ROM 256GB Reno 10 Pro Plus,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/19/0539cee2-4303-4ddb-9ad2-b4b790e79a0a.jpg.webp?ect=3g,Rp7.999.000,5,Jakarta UtaraOriginal-Link
transistor toshiba c5200 a1943 original seri 7,transistor toshiba c5200 a1943 original seri 7,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/6/13/1b35bfe8-e42c-400d-82dc-307f79087880.jpg.webp?ect=3g,Rp15.000,5,Bekasigadgettekno shopn
"iTel A70 3/128 4/128 RAM 3 4 ROM 128 GB 3GB 4GB 128GB - FS 3/128GB, Black","iTel A70 3/128 4/128 RAM 3 4 ROM 128 GB 3GB 4GB 128GB - FS 3/128GB, Black",,Rp946.000,5,".css-ywdpwd{display:block;width:100%;font-size:0.8571428571428571rem;height:20px;color:var(--NN1000,rgba(0,0,0,0.54));margin-top:0;text-overflow:ellipsis;overflow:hidden;-webkit-transition:-webkit-transform 0.3s;-webkit-transition:transform 0.3s;transition:transform 0.3s;-webkit-transform:unset;-ms-transform:unset;transform:unset;max-width:140px;}.css-ywdpwd.empty{display:none;}.css-54k5sq:hover .css-ywdpwd:not(.disable-trans){-webkit-transform:translateY(-19px);-ms-transform:translateY(-19px);transform:translateY(-19px);}Jakarta PusatSUPER_GADGET"
"iQOO 11 (16/256) - Snapdragon 8 Gen 2, 2K 144Hz E6 AMOLED Display","iQOO 11 (16/256) - Snapdragon 8 Gen 2, 2K 144Hz E6 AMOLED Display",,Rp9.109.000,5,Kab. Tangerangvivo Indonesia
(RESMI) Samsung Galaxy S23 FE 8/128GB 8/256GB Mint Cream Graphite SEIN,(RESMI) Samsung Galaxy S23 FE 8/128GB 8/256GB Mint Cream Graphite SEIN,,Rp7.569.000,5,Jakarta PusatPutra Group
Infinity Essential Compatible - All Flavor,Infinity Essential Compatible - All Flavor,,Rp55.000,5,SurabayaRELX Jawa Timur
FoamX Aneka Warna,FoamX Aneka Warna,,Rp170.000,5,Jakarta SelatanFoom Gallery
Samsung Galaxy A54 5G 8/256GB,Samsung Galaxy A54 5G 8/256GB,,Rp5.999.000,5,Jakarta TimurSamsung Official Store
Apple iPhone 13 128GB | 256GB | 512GB - Garansi Resmi iBox Apple Indo,Apple iPhone 13 128GB | 256GB | 512GB - Garansi Resmi iBox Apple Indo,,Rp11.424.000,5,Jakarta UtaraUniverse Store
Xiaomi Official Redmi Note 12 50MP Triple Kamera 120Hz AMOLED NFC IP53,Xiaomi Official Redmi Note 12 50MP Triple Kamera 120Hz AMOLED NFC IP53,,Rp2.099.000,5,Kab. TangerangXiaomi Official Store
Apple iPhone 14 Garansi Resmi - 128GB 256GB 512GB,Apple iPhone 14 Garansi Resmi - 128GB 256GB 512GB,,Rp12.969.000,5,Jakarta PusatiSmile Official Store
Apple iPhone 11 64 GB - Garansi Resmi iBox Apple Indonesia,Apple iPhone 11 64 GB - Garansi Resmi iBox Apple Indonesia,,Rp7.248.000,5,Jakarta UtaraUniverse Store
Samsung A24 4G 8/128 New Segel Box Garansi Resmi Promo Bandung,Samsung A24 4G 8/128 New Segel Box Garansi Resmi Promo Bandung,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/13/78c1ea51-28d8-4399-9578-1c054fac204c.jpg.webp?ect=4g,Rp3.075.356,5,BandungJalaprang Elektronik Store 2
Xiaomi Redmi 12C 3/32GB + 4/64GB + 4/128GB Garansi Resmi,Xiaomi Redmi 12C 3/32GB + 4/64GB + 4/128GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/7/ff3d4c45-2cba-4dbc-b24b-788dfb8316df.jpg.webp?ect=4g,Rp1.032.000,5,Jakarta Baratduniagadgetku
Itel A60s 4/128 GB & 4/64 GB RAM 8GB (4+4GB) Garansi Resmi,Itel A60s 4/128 GB & 4/64 GB RAM 8GB (4+4GB) Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/3/4d208e3c-fdd3-4013-b01a-e4210a4a83a0.jpg.webp?ect=4g,Rp1.099.000,5,Jakarta TimurNEW ERA PONSEL
edia.net/img/cache/200-square/VqbcmM/2022/10/28/2f263609-d802-4e96-8759-6ebe9dec169e.jpg.webp?ect=3g,Rp14.640.000,5,Jakarta UtaraUniverse Store
Infinix Note 30 Pro 8/256 Garansi Resmi,Infinix Note 30 Pro 8/256 Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/3/7e8a18d4-4be3-47f1-ab06-15c759438c8c.jpg.webp?ect=3g,Rp2.619.000,5,BandungGadgetCo.
Samsung Galaxy A50 4GB/64GB ex Resmi Indo,Samsung Galaxy A50 4GB/64GB ex Resmi Indo,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/15/91a89767-dfd2-4ffb-abef-a83e7ac7be59.png.webp?ect=3g,Rp920.000,5,Jakarta BaratLaku6 Authorized Reseller
